Identifier,value1,value2,value3,g,l,s,m,e
180.0,102,22,92,0,0,1,0,0
180.0,98,22,91,0,0,1,0,0
180.0,99,23,93,0,0,1,0,0
180.0,100,23,92,0,0,1,0,0
180.0,97,23,92,0,0,1,0,0
180.0,88,22,92,0,0,1,0,0
180.0,96,22,92,0,0,1,0,0
180.0,110,23,92,0,0,1,0,0
180.0,106,23,93,0,0,1,0,0
180.0,104,23,93,0,0,1,0,0
180.0,106,22,92,0,0,1,0,0
180.0,103,23,92,0,0,1,0,0
180.0,98,23,91,0,0,1,0,0
180.0,111,24,93,0,0,1,0,0
180.0,123,22,91,0,0,1,0,0
180.0,144,23,91,0,0,1,0,0
180.0,136,22,92,0,0,1,0,0
180.0,121,23,92,0,0,1,0,0
180.0,109,21,92,0,0,1,0,0
180.0,106,22,92,0,0,1,0,0
180.0,97,22,92,0,0,1,0,0
180.0,97,22,91,0,0,1,0,0
180.0,121,22,90,0,0,1,0,0
180.0,116,23,93,0,0,1,0,0
180.0,109,21,93,0,0,1,0,0
180.0,107,22,91,0,0,1,0,0
180.0,101,20,91,0,0,1,0,0
180.0,106,23,90,0,0,1,0,0
180.0,116,23,94,0,0,1,0,0
180.0,125,22,92,0,0,1,0,0
