Identifier,value1,value2,value3,g,l,s,m,e,Goodness
0.9,0.999877915,0.017458186,0.003662556,0,1,0,0,0,25
0.9,0.999877915,0.017946527,0.003784642,0,1,0,0,0,25
0.9,0.999877915,0.017824441,0.003784642,0,1,0,0,0,25
0.9,0.999877915,0.017946527,0.003784642,0,1,0,0,0,25
0.9,0.999877915,0.017702356,0.004028812,0,1,0,0,0,25
0.9,0.999877915,0.017702356,0.004028812,0,1,0,0,0,25
0.9,1,0.017580271,0.003662556,0,1,0,0,0,25
0.9,0.999877915,0.018068612,0.003906727,0,1,0,0,0,25
0.9,0.999877915,0.018312782,0.004028812,0,1,0,0,0,25
0.9,0.999877915,0.018190697,0.003906727,0,1,0,0,0,25
0.9,0.999877915,0.018434868,0.003662556,0,1,0,0,0,25
0.9,0.999877915,0.018556953,0.003662556,0,1,0,0,0,25
0.9,0.999877915,0.018434868,0.003906727,0,1,0,0,0,25
0.9,0.999877915,0.018679038,0.004028812,0,1,0,0,0,25
0.9,0.999877915,0.018556953,0.003906727,0,1,0,0,0,25
0.9,0.999877915,0.018679038,0.003784642,0,1,0,0,0,25
0.9,0.999877915,0.018312782,0.003662556,0,1,0,0,0,25
0.9,0.999877915,0.018312782,0.003784642,0,1,0,0,0,25
0.9,0.999877915,0.018190697,0.003906727,0,1,0,0,0,25
0.9,0.999877915,0.018190697,0.003662556,0,1,0,0,0,25
0.9,0.999877915,0.018068612,0.003784642,0,1,0,0,0,25
0.9,0.999877915,0.018190697,0.003784642,0,1,0,0,0,25
0.9,0.999877915,0.018190697,0.003906727,0,1,0,0,0,25
0.9,0.999877915,0.018190697,0.003906727,0,1,0,0,0,25
0.9,0.999877915,0.018190697,0.003784642,0,1,0,0,0,25
0.9,0.999877915,0.018190697,0.003784642,0,1,0,0,0,25
0.9,0.999877915,0.017946527,0.003906727,0,1,0,0,0,25
0.9,0.999877915,0.017946527,0.003906727,0,1,0,0,0,25
0.9,0.999877915,0.017946527,0.003784642,0,1,0,0,0,25
0.9,0.999877915,0.017824441,0.004150897,0,1,0,0,0,25
0.9,0.999877915,0.017824441,0.003906727,0,1,0,0,0,25
0.9,0.999877915,0.017946527,0.003662556,0,1,0,0,0,25
0.9,0.999877915,0.017824441,0.003662556,0,1,0,0,0,25
